iter	Passed	Remaining
0	128	128302
1	132	65873
2	136	45432
3	139	34730
4	141	28161
5	144	23984
6	148	21017
7	150	18679
8	154	16968
9	157	15596
10	159	14337
11	161	13312
12	164	12475
13	167	11792
14	169	11140
15	173	10646
16	174	10078
17	176	9631
18	178	9217
19	180	8831
20	182	8529
21	186	8278
22	188	7987
23	190	7748
24	192	7501
25	194	7297
26	196	7095
27	198	6891
28	200	6706
29	202	6547
30	204	6392
31	206	6260
32	209	6147
33	211	6004
34	212	5868
35	214	5737
36	216	5640
37	218	5523
38	219	5409
39	220	5295
40	222	5196
41	223	5108
42	225	5024
43	227	4943
44	228	4856
45	230	4790
46	232	4717
47	233	4629
48	234	4548
49	235	4480
50	237	4414
51	238	4348
52	239	4282
53	241	4226
54	242	4166
55	243	4111
56	245	4055
57	246	4002
58	247	3950
59	248	3898
60	249	3847
61	251	3798
62	252	3750
63	253	3704
64	254	3658
65	255	3621
66	257	3581
67	258	3543
68	259	3505
69	260	3465
70	261	3426
71	263	3394
72	264	3357
73	265	3320
74	266	3284
75	267	3250
76	268	3216
77	269	3185
78	270	3153
79	271	3122
80	273	3099
81	273	3065
82	274	3028
83	275	2998
84	275	2970
85	277	2944
86	277	2917
87	279	2892
88	279	2864
89	280	2837
90	281	2809
91	282	2784
92	283	2762
93	284	2744
94	286	2729
95	287	2710
96	288	2688
97	289	2666
98	291	2653
99	293	2640
100	294	2621
101	296	2608
102	297	2595
103	299	2577
104	299	2555
105	301	2538
106	302	2522
107	303	2503
108	304	2485
109	304	2466
110	306	2452
111	307	2435
112	308	2419
113	310	2409
114	310	2393
115	311	2376
116	312	2359
117	313	2343
118	314	2328
119	315	2313
120	317	2308
121	318	2291
122	319	2276
123	320	2262
124	321	2248
125	322	2234
126	322	2220
127	323	2206
128	324	2192
129	325	2179
130	326	2167
131	327	2154
132	328	2142
133	329	2130
134	330	2118
135	331	2108
136	333	2099
137	333	2085
138	334	2073
139	335	2061
140	336	2050
141	337	2037
142	338	2026
143	339	2015
144	340	2005
145	341	1995
146	342	1984
147	343	1976
148	344	1966
149	345	1959
150	347	1951
151	347	1941
152	348	1931
153	349	1922
154	350	1912
155	351	1903
156	352	1894
157	354	1891
158	355	1880
159	356	1869
160	357	1865
161	359	1858
162	360	1850
163	361	1842
164	362	1833
165	363	1826
166	364	1820
167	366	1815
168	368	1811
169	369	1805
170	371	1798
171	372	1792
172	374	1788
173	375	1782
174	376	1776
175	377	1768
176	378	1761
177	380	1756
178	381	1749
179	382	1742
180	383	1734
181	384	1727
182	385	1720
183	386	1713
184	387	1706
185	388	1698
186	389	1692
187	390	1685
188	390	1677
189	391	1670
190	393	1664
191	394	1658
192	395	1651
193	396	1645
194	397	1639
195	398	1632
196	398	1624
197	399	1617
198	400	1611
199	401	1605
200	402	1599
201	403	1593
202	405	1590
203	405	1583
204	406	1576
205	408	1574
206	409	1570
207	410	1564
208	411	1558
209	412	1552
210	413	1547
211	414	1541
212	416	1537
213	417	1532
214	418	1526
215	419	1521
216	420	1516
217	421	1511
218	423	1510
219	424	1505
220	425	1500
221	426	1495
222	428	1491
223	429	1486
224	430	1481
225	431	1476
226	432	1471
227	433	1466
228	434	1461
229	434	1456
230	435	1449
231	436	1443
232	437	1439
233	438	1435
234	439	1431
235	440	1425
236	440	1419
237	441	1414
238	442	1410
239	443	1405
240	444	1400
241	445	1396
242	446	1392
243	447	1387
244	448	1383
245	449	1379
246	450	1374
247	451	1370
248	453	1368
249	455	1365
250	456	1360
251	457	1356
252	458	1352
253	458	1348
254	460	1345
255	461	1341
256	462	1337
257	463	1333
258	464	1330
259	465	1325
260	466	1321
261	467	1317
262	468	1313
263	469	1309
264	470	1305
265	471	1301
266	472	1296
267	473	1292
268	474	1288
269	475	1284
270	475	1280
271	477	1276
272	477	1272
273	478	1268
274	479	1264
275	480	1261
276	483	1262
277	484	1258
278	485	1254
279	486	1252
280	487	1248
281	488	1245
282	490	1243
283	491	1238
284	492	1234
285	493	1231
286	494	1228
287	495	1224
288	496	1220
289	497	1216
290	498	1214
291	499	1210
292	500	1208
293	501	1204
294	502	1201
295	504	1198
296	505	1195
297	506	1193
298	507	1190
299	508	1186
300	509	1183
301	510	1179
302	511	1176
303	512	1172
304	513	1169
305	514	1166
306	515	1163
307	517	1161
308	518	1158
309	518	1154
310	520	1152
311	521	1149
312	522	1145
313	523	1142
314	524	1139
315	525	1136
316	526	1134
317	529	1135
318	531	1134
319	533	1132
320	534	1130
321	535	1128
322	537	1126
323	538	1123
324	540	1121
325	541	1119
326	543	1119
327	545	1117
328	546	1114
329	546	1110
330	547	1107
331	549	1105
332	550	1103
333	552	1100
334	553	1098
335	554	1096
336	555	1093
337	556	1089
338	558	1088
339	559	1086
340	560	1083
341	561	1079
342	562	1078
343	564	1075
344	565	1073
345	566	1071
346	567	1068
347	568	1064
348	568	1061
349	569	1058
350	570	1055
351	571	1052
352	574	1052
353	575	1050
354	576	1047
355	577	1044
356	578	1041
357	579	1039
358	580	1036
359	581	1033
360	582	1030
361	583	1028
362	584	1025
363	585	1022
364	586	1019
365	587	1017
366	588	1015
367	589	1013
368	590	1010
369	592	1008
370	592	1005
371	594	1003
372	595	1001
373	596	998
374	597	995
375	597	992
376	598	989
377	599	986
378	600	984
379	602	982
380	603	980
381	604	978
382	605	975
383	606	973
384	607	970
385	608	968
386	609	965
387	610	962
388	611	959
389	612	957
390	612	954
391	614	952
392	615	950
393	616	947
394	617	945
395	618	943
396	619	941
397	620	938
398	621	936
399	623	934
400	624	932
401	625	930
402	626	927
403	626	924
404	627	922
405	628	919
406	629	917
407	630	914
408	631	912
409	632	909
410	633	907
411	634	906
412	635	903
413	636	901
414	637	899
415	638	896
416	639	894
417	640	891
418	641	889
419	641	886
420	643	884
421	644	882
422	645	880
423	645	877
424	646	875
425	648	873
426	649	871
427	650	869
428	651	867
429	652	865
430	653	863
431	654	861
432	655	858
433	656	856
434	657	853
435	657	851
436	658	848
437	659	846
438	660	844
439	661	841
440	662	839
441	663	837
442	664	836
443	665	833
444	666	831
445	668	830
446	669	827
447	670	825
448	670	823
449	671	821
450	672	818
451	673	816
452	674	814
453	674	811
454	675	808
455	676	806
456	677	804
457	678	803
458	680	801
459	681	799
460	682	797
461	682	795
462	683	793
463	684	790
464	685	788
465	686	786
466	687	784
467	688	782
468	689	780
469	690	778
470	690	775
471	691	773
472	692	771
473	693	769
474	694	768
475	695	766
476	696	763
477	697	762
478	698	759
479	699	757
480	700	755
481	701	753
482	702	751
483	703	749
484	704	747
485	704	745
486	705	743
487	706	741
488	707	739
489	708	737
490	710	736
491	711	734
492	712	732
493	713	730
494	714	728
495	715	726
496	715	724
497	716	722
498	717	720
499	718	718
500	720	717
501	721	716
502	723	715
503	724	713
504	725	711
505	726	709
506	727	707
507	729	706
508	730	704
509	731	702
510	731	700
511	732	698
512	733	696
513	734	694
514	735	692
515	736	691
516	738	689
517	740	689
518	741	687
519	742	685
520	743	683
521	744	681
522	745	680
523	746	678
524	747	676
525	748	674
526	749	672
527	751	671
528	752	669
529	754	669
530	755	667
531	756	665
532	757	663
533	758	661
534	759	659
535	760	657
536	761	656
537	762	654
538	762	652
539	763	650
540	764	648
541	765	647
542	766	645
543	768	643
544	769	642
545	770	640
546	772	639
547	772	637
548	773	635
549	774	633
550	775	631
551	777	630
552	778	628
553	778	627
554	779	625
555	780	623
556	781	621
557	783	620
558	784	619
559	785	617
560	787	615
561	788	614
562	789	612
563	790	611
564	791	609
565	792	607
566	793	605
567	794	604
568	795	602
569	796	600
570	797	599
571	799	597
572	800	596
573	801	594
574	802	593
575	803	591
576	804	589
577	805	587
578	806	586
579	807	584
580	807	582
581	808	581
582	809	579
583	810	577
584	811	575
585	812	574
586	814	572
587	815	571
588	816	569
589	817	567
590	818	566
591	819	564
592	820	562
593	821	561
594	822	559
595	823	557
596	824	556
597	824	554
598	825	552
599	826	551
600	827	549
601	828	547
602	829	546
603	830	544
604	831	542
605	832	541
606	833	539
607	834	538
608	835	536
609	836	534
610	837	533
611	838	531
612	839	530
613	840	528
614	841	526
615	842	525
616	843	523
617	844	522
618	845	520
619	846	518
620	847	517
621	848	515
622	849	513
623	850	512
624	851	510
625	851	508
626	852	507
627	853	505
628	854	504
629	855	502
630	856	501
631	857	499
632	858	497
633	859	496
